,日期,成交额
3008,2020-02-03,86.571098
3613,2022-07-27,96.454327
3612,2022-07-26,96.573448
3622,2022-08-09,101.70823
3086,2020-05-27,105.920003
3621,2022-08-08,110.603358
3623,2022-08-10,111.236829
3557,2022-05-09,111.497528
3619,2022-08-04,115.419474
3608,2022-07-20,116.977312
3084,2020-05-25,118.279858
3569,2022-05-25,119.272979
3611,2022-07-25,119.711766
3085,2020-05-26,122.664285
3609,2022-07-21,123.148958
3088,2020-05-29,124.488593
3572,2022-05-30,126.810871
3563,2022-05-17,128.491764
3514,2022-03-02,129.490296
3533,2022-03-29,131.353659
