,index,ts_code,trade_date,pct_chg,amount
0,2214,300752.SZ,20221017,20.0214,214549.228
1,4773,688628.SH,20221017,20.0161,185244.811
2,4770,688622.SH,20221017,20.0098,95926.022
3,2598,301178.SZ,20221017,20.0072,115940.191
4,2194,300730.SZ,20221017,20.0,783062.521
5,1648,300165.SZ,20221017,20.0,197985.723
6,1673,300192.SZ,20221017,20.0,187474.372
7,2266,300809.SZ,20221017,20.0,302737.091
8,4407,688056.SH,20221017,20.0,167607.128
9,2255,300797.SZ,20221017,20.0,113929.089
10,4766,688617.SH,20221017,19.9978,1266747.332
11,4712,688511.SH,20221017,19.993,50309.217
12,1868,300396.SZ,20221017,19.99,459657.247
13,1644,300161.SZ,20221017,19.9887,242315.314
14,1959,300488.SZ,20221017,19.9808,141532.416
15,4650,688351.SH,20221017,19.9774,264780.476
16,1817,300341.SZ,20221017,19.9768,431997.867
17,4537,688210.SH,20221017,18.7007,61675.659
18,4643,688337.SH,20221017,17.4173,278970.305
19,1791,300314.SZ,20221017,17.0093,303736.761
20,2676,301316.SZ,20221017,16.3392,706557.882
21,4732,688558.SH,20221017,16.1974,143489.949
22,4757,688600.SH,20221017,15.9375,279503.711
23,4375,688016.SH,20221017,15.883,1534445.362
24,2165,300698.SZ,20221017,15.5783,169104.36
25,4431,688083.SH,20221017,15.2386,330567.483
26,2184,300719.SZ,20221017,15.2174,366457.619
27,4605,688295.SH,20221017,14.9139,389498.739
28,4484,688150.SH,20221017,14.6124,106638.973
29,4797,688682.SH,20221017,14.4733,52533.851
30,4616,688308.SH,20221017,14.4366,136494.925
31,1979,300508.SZ,20221017,14.1935,99701.345
32,1986,300515.SZ,20221017,13.9896,68357.98
33,2653,301263.SZ,20221017,13.2245,186438.674
34,1501,300010.SZ,20221017,13.0303,607559.949
35,2209,300747.SZ,20221017,12.6399,247176.275
36,4614,688305.SH,20221017,12.0362,266327.615
37,4686,688398.SH,20221017,11.6751,28444.55
38,4781,688659.SH,20221017,11.4478,207977.162
39,2153,300686.SZ,20221017,11.4357,115246.393
40,4580,688266.SH,20221017,11.3823,276726.215
41,4508,688179.SH,20221017,11.3732,283518.882
42,4460,688115.SH,20221017,11.3317,60926.877
43,4410,688059.SH,20221017,11.3043,163461.795
44,1830,300354.SZ,20221017,11.2087,132316.288
45,1575,300089.SZ,20221017,11.0759,23361.21
46,4393,688037.SH,20221017,10.9333,485795.398
47,4805,688697.SH,20221017,10.9155,114705.756
48,2074,300606.SZ,20221017,10.8772,119006.54
49,1882,300410.SZ,20221017,10.8108,116947.127
50,2397,300946.SZ,20221017,10.5263,92350.912
51,2319,300862.SZ,20221017,10.2788,61127.725
52,985,002501.SZ,20221017,10.2564,91361.753
53,4828,688788.SH,20221017,10.2468,52237.223
54,4743,688577.SH,20221017,10.2368,22127.435
55,2421,300971.SZ,20221017,10.2326,66922.118
56,2924,600280.SH,20221017,10.1563,222779.091
57,128,000540.SZ,20221017,10.1351,314519.812
58,4619,688311.SH,20221017,10.0829,198725.517
59,1042,002560.SZ,20221017,10.0787,260253.462
60,1138,002659.SZ,20221017,10.0703,407177.924
61,1449,002999.SZ,20221017,10.0629,675062.651
62,667,002173.SZ,20221017,10.0601,231917.035
63,935,002446.SZ,20221017,10.0585,896368.031
64,1041,002559.SZ,20221017,10.0529,484808.285
65,607,002111.SZ,20221017,10.0484,59830.845
66,78,000409.SZ,20221017,10.0478,88264.472
67,1010,002528.SZ,20221017,10.0467,235826.16
68,4032,603609.SH,20221017,10.0461,297343.607
69,1170,002693.SZ,20221017,10.045,24512.664
70,1065,002583.SZ,20221017,10.0418,236886.305
71,791,002301.SZ,20221017,10.0413,98854.616
72,1273,002808.SZ,20221017,10.0407,110123.614
73,4188,603898.SH,20221017,10.0402,6937.68
74,2846,600185.SH,20221017,10.0394,239721.056
75,659,002165.SZ,20221017,10.0379,639401.477
76,3734,603036.SH,20221017,10.0334,98536.146
77,1365,002907.SZ,20221017,10.0309,108334.876
78,467,001236.SZ,20221017,10.0271,502198.207
79,242,000705.SZ,20221017,10.0264,294638.643
80,3465,600971.SH,20221017,10.0257,667648.581
81,878,002389.SZ,20221017,10.0246,517969.661
82,4325,605299.SH,20221017,10.0225,46502.442
83,738,002246.SZ,20221017,10.0196,994990.715
84,1280,002816.SZ,20221017,10.0174,65655.711
85,2815,600149.SH,20221017,10.0164,138910.261
86,3332,600785.SH,20221017,10.0153,61671.95
87,682,002189.SZ,20221017,10.0144,83980.066
88,1281,002817.SZ,20221017,10.011,504598.243
89,493,001339.SZ,20221017,10.0092,251340.038
90,400,000948.SZ,20221017,10.0086,983459.785
91,921,002432.SZ,20221017,10.0064,2605662.364
92,1362,002903.SZ,20221017,10.0047,105640.42
93,1455,003005.SZ,20221017,10.0032,759900.671
94,1360,002901.SZ,20221017,10.0022,171794.486
95,3895,603297.SH,20221017,10.0,111301.224
96,3202,600636.SH,20221017,10.0,87436.034
97,980,002496.SZ,20221017,10.0,711880.019
98,475,001269.SZ,20221017,10.0,47681.291
99,4067,603676.SH,20221017,10.0,160442.089
100,723,002231.SZ,20221017,10.0,526263.908
101,1003,002520.SZ,20221017,10.0,409266.804
102,4056,603658.SH,20221017,9.9984,247489.39
103,3746,603052.SH,20221017,9.9978,207239.373
104,3666,601882.SH,20221017,9.9949,143747.391
105,1283,002819.SZ,20221017,9.9926,285459.514
106,884,002395.SZ,20221017,9.9916,398161.278
107,1408,002955.SZ,20221017,9.9912,472261.313
108,3797,603122.SH,20221017,9.9912,44736.32
109,4125,603787.SH,20221017,9.9903,56915.855
110,1453,003003.SZ,20221017,9.9893,30765.368
111,202,000638.SZ,20221017,9.9875,37555.33
112,3692,601975.SH,20221017,9.9808,1982985.568
113,1104,002625.SZ,20221017,9.9807,331363.294
114,1480,003032.SZ,20221017,9.9777,224905.984
