,ts_code,trade_date,pct_chg,amount
2709,301396.SZ,20221111,24.62,751502.467
2646,301230.SZ,20221111,20.0,648889.363
2376,300917.SZ,20221111,19.9808,447616.643
1545,300051.SZ,20221111,19.0174,588000.928
4861,688789.SH,20221111,15.5941,78228.899
2206,300737.SZ,20221111,13.8889,628476.551
1562,300071.SZ,20221111,12.5964,942182.909
2440,300986.SZ,20221111,12.0186,168366.114
4682,688357.SH,20221111,11.615,314403.001
4690,688368.SH,20221111,11.2843,445932.778
4702,688382.SH,20221111,10.5496,297489.276
219,000671.SZ,20221111,10.2564,1181345.757
411,000961.SZ,20221111,10.2222,684702.068
2915,600243.SH,20221111,10.1053,379456.45
3198,600606.SH,20221111,10.0719,624387.602
545,002043.SZ,20221111,10.0645,261460.503
958,002467.SZ,20221111,10.0604,161522.328
2788,600095.SH,20221111,10.0601,459956.693
3151,600556.SH,20221111,10.0543,874734.781
2979,600325.SH,20221111,10.0432,587513.515
1126,002642.SZ,20221111,10.0338,2044737.585
686,002188.SZ,20221111,10.0334,138898.354
4110,603701.SH,20221111,10.0297,271074.348
1321,002853.SZ,20221111,10.0283,191003.932
1468,003012.SZ,20221111,10.0271,178205.411
741,002244.SZ,20221111,10.0211,572577.647
4350,605303.SH,20221111,10.0174,63911.144
1381,002918.SZ,20221111,10.0138,312657.885
3554,601155.SH,20221111,10.0117,999560.955
3970,603378.SH,20221111,10.0116,72833.311
3538,601100.SH,20221111,10.0085,824456.599
181,000610.SZ,20221111,10.0084,1059417.39
766,002271.SZ,20221111,10.0074,2679884.456
2752,600048.SH,20221111,10.0069,2896761.506
1227,002750.SZ,20221111,10.0068,1613719.179
1264,002791.SZ,20221111,10.0046,448040.301
4156,603801.SH,20221111,10.0045,140218.977
4369,605398.SH,20221111,10.0036,42711.581
1437,002980.SZ,20221111,10.0033,181788.904
4132,603737.SH,20221111,10.0,378570.693
1187,002706.SZ,20221111,10.0,329372.101
1461,003005.SZ,20221111,10.0,1541596.137
1446,002989.SZ,20221111,10.0,85654.45
1371,002907.SZ,20221111,10.0,1190750.168
3913,603283.SH,20221111,10.0,423839.944
3246,600665.SH,20221111,10.0,126614.407
633,002133.SZ,20221111,10.0,186388.337
344,000863.SZ,20221111,10.0,328874.355
2837,600153.SH,20221111,10.0,759282.576
3750,603029.SH,20221111,9.9927,573888.763
4036,603583.SH,20221111,9.9925,138102.413
3028,600383.SH,20221111,9.9886,1506691.586
236,000697.SZ,20221111,9.9872,225195.571
612,002112.SZ,20221111,9.9867,202848.565
3123,600520.SH,20221111,9.9861,812265.509
3390,600829.SH,20221111,9.9851,301022.787
1305,002836.SZ,20221111,9.9823,377372.43
3771,603056.SH,20221111,9.9815,330014.014
4115,603709.SH,20221111,9.9814,73246.0
2948,600287.SH,20221111,9.98,84286.153
1059,002572.SZ,20221111,9.9799,780462.579
1,000002.SZ,20221111,9.9791,4449223.899
4179,603843.SH,20221111,9.9773,78212.022
1080,002593.SZ,20221111,9.9762,345249.572
3135,600533.SH,20221111,9.9738,233889.616
1455,002999.SZ,20221111,9.9628,1035001.63
4271,605001.SH,20221111,9.9609,551240.439
849,002354.SZ,20221111,9.9537,1304461.636
3204,600613.SH,20221111,9.9502,687653.946
187,000620.SZ,20221111,9.9265,607135.29
4145,603778.SH,20221111,9.9196,32455.293
108,000517.SZ,20221111,9.8901,170108.528
3036,600393.SH,20221111,9.8592,135772.578
