code,name,amount,pct,,,,
688031.SH,N星环-U,13.4157,60.5408,,,,
688351.SH,微电生理-U,3.9885,19.9906,,,,
300878.SZ,维康药业,3.1105,19.9903,,,,
301041.SZ,金百泽,1.7248,19.9756,,,,
300013.SZ,新宁物流,4.5840,19.9531,,,,
838402.BJ,硅烷科技,3.0442,19.4984,,,,
301018.SZ,申菱环境,8.1843,17.2286,,,,
688428.SH,诺诚健华-U,5.4093,16.5362,,,,
688226.SH,威腾电气,2.0941,15.8850,,,,
300314.SZ,戴维医疗,4.0829,15.4153,,,,
838171.BJ,邦德股份,0.5170,14.2162,,,,
688663.SH,新风光,4.4982,13.6050,,,,
688091.SH,上海谊众-U,3.7700,13.5213,,,,
688772.SH,珠海冠宇,4.1153,13.5094,,,,
873122.BJ,中纺标,0.3824,12.9228,,,,
688737.SH,中自科技,0.5068,12.7933,,,,
688331.SH,荣昌生物,3.2068,12.7349,,,,
300990.SZ,同飞股份,2.9659,12.1945,,,,
688520.SH,神州细胞-U,1.7053,12.1913,,,,
688235.SH,百济神州-U,8.1236,11.9885,,,,
688248.SH,南网科技,5.3576,11.3582,,,,
300068.SZ,南都电源,31.0656,10.8604,,,,
688345.SH,博力威,1.2857,10.8480,,,,
002501.SZ,利源精制,2.2422,10.2326,,,,
300174.SZ,元力股份,2.9306,10.1190,,,,
002766.SZ,索菱股份,0.7316,10.0990,,,,
002188.SZ,中天服务,0.3899,10.0901,,,,
600475.SH,华光环能,4.1436,10.0541,,,,
600421.SH,华嵘控股,0.6206,10.0448,,,,
603878.SH,武进不锈,1.3054,10.0446,,,,
000820.SZ,神雾节能,0.5008,10.0427,,,,
002771.SZ,真视通,1.6229,10.0402,,,,
603122.SH,合富中国,0.4906,10.0398,,,,
002248.SZ,华东数控,0.4291,10.0372,,,,
603898.SH,好莱客,0.1292,10.0365,,,,
603711.SH,香飘飘,0.3190,10.0358,,,,
600817.SH,宇通重工,0.3613,10.0338,,,,
003010.SZ,若羽臣,0.5502,10.0332,,,,
603011.SH,合锻智能,5.0931,10.0320,,,,
002873.SZ,新天药业,2.9860,10.0310,,,,
002907.SZ,华森制药,3.0085,10.0281,,,,
002782.SZ,可立克,2.3236,10.0249,,,,
003032.SZ,传智教育,1.3582,10.0203,,,,
002045.SZ,国光电器,13.3482,10.0166,,,,
601869.SH,长飞光纤,3.6557,10.0120,,,,
001238.SZ,浙江正特,3.2940,10.0108,,,,
000999.SZ,华润三九,8.0047,10.0092,,,,
605286.SH,同力日升,2.5091,10.0085,,,,
603331.SH,百达精工,1.0931,10.0081,,,,
002462.SZ,嘉事堂,2.2200,10.0075,,,,
603676.SH,卫信康,2.4230,10.0070,,,,
002444.SZ,巨星科技,6.1661,10.0051,,,,
002294.SZ,信立泰,7.0662,10.0034,,,,
000049.SZ,德赛电池,7.6071,10.0023,,,,
600579.SH,克劳斯,0.3044,10.0000,,,,
003020.SZ,立方制药,1.8969,10.0000,,,,
002940.SZ,昂利康,2.6161,10.0000,,,,
002796.SZ,世嘉科技,1.8851,10.0000,,,,
002659.SZ,凯文教育,7.8807,10.0000,,,,
002144.SZ,宏达高科,0.4248,10.0000,,,,
000509.SZ,华塑控股,0.4681,10.0000,,,,
000948.SZ,南天信息,12.2766,9.9961,,,,
000915.SZ,华特达因,4.3049,9.9955,,,,
002889.SZ,东方嘉盛,0.3808,9.9954,,,,
002864.SZ,盘龙药业,1.9759,9.9938,,,,
600750.SH,江中药业,5.5350,9.9932,,,,
